Multinomial_0,Filtros,max_df,min_df,Accuraci
0,0,0.9,100,0.69676048858205
0,0,0.9,90,0.7044609665427509
0,0,0.9,80,0.7140201805629315
0,0,0.9,70,0.7245087626128518
0,0,0.8,100,0.6960966542750929
0,0,0.8,90,0.705124800849708
0,0,0.8,80,0.7154806160382369
0,0,0.8,70,0.7234466277217206
0,0,0.7,100,0.6959638874137015
0,0,0.7,90,0.7045937334041423
0,0,0.7,80,0.715215082315454
0,0,0.7,70,0.7257036643653744
0,0,0.6,100,0.6966277217206586
0,0,0.6,90,0.7045937334041423
0,0,0.6,80,0.7170738183749337
0,0,0.6,70,0.7283590015932023
0,1,0.9,100,0.7141529474243229
0,1,0.9,90,0.7211895910780669
0,1,0.9,80,0.72623473181094
0,1,0.9,70,0.7335369091874668
0,1,0.8,100,0.7132235793945831
0,1,0.8,90,0.7194636218799788
0,1,0.8,80,0.7263674986723314
0,1,0.8,70,0.7326075411577271
0,1,0.7,100,0.7148167817312798
0,1,0.7,90,0.7202602230483272
0,1,0.7,80,0.7280934678704195
0,1,0.7,70,0.735926712692512
0,1,0.6,100,0.7148167817312798
0,1,0.6,90,0.7211895910780669
0,1,0.6,80,0.7279607010090281
0,1,0.6,70,0.7375199150292087
0,2,0.9,100,0.7003451938396177
0,2,0.9,90,0.7099044078597982
0,2,0.9,80,0.7194636218799788
0,2,0.9,70,0.7291556027615507
0,2,0.8,100,0.7003451938396177
0,2,0.8,90,0.7099044078597982
0,2,0.8,80,0.7194636218799788
0,2,0.8,70,0.7291556027615507
0,2,0.7,100,0.7003451938396177
0,2,0.7,90,0.7099044078597982
0,2,0.7,80,0.7194636218799788
0,2,0.7,70,0.7291556027615507
0,2,0.6,100,0.7031332979288369
0,2,0.6,90,0.7105682421667552
0,2,0.6,80,0.7199946893255443
0,2,0.6,70,0.7294211364843335
0,3,0.9,100,0.72052575677111
0,3,0.9,90,0.7272968667020712
0,3,0.9,80,0.7323420074349443
0,3,0.9,70,0.7373871481678174
0,3,0.8,100,0.72052575677111
0,3,0.8,90,0.7272968667020712
0,3,0.8,80,0.7323420074349443
0,3,0.8,70,0.7373871481678174
0,3,0.7,100,0.72052575677111
0,3,0.7,90,0.7272968667020712
0,3,0.7,80,0.7323420074349443
0,3,0.7,70,0.7373871481678174
0,3,0.6,100,0.723579394583112
0,3,0.6,90,0.7278279341476368
0,3,0.6,80,0.7331386086032926
0,3,0.6,70,0.7400424853956452
0,4,0.9,100,0.7120286776420606
0,4,0.9,90,0.7184014869888475
0,4,0.9,80,0.724907063197026
0,4,0.9,70,0.7340679766330324
0,4,0.8,100,0.7120286776420606
0,4,0.8,90,0.7184014869888475
0,4,0.8,80,0.724907063197026
0,4,0.8,70,0.7340679766330324
0,4,0.7,100,0.7120286776420606
0,4,0.7,90,0.7184014869888475
0,4,0.7,80,0.724907063197026
0,4,0.7,70,0.7340679766330324
0,4,0.6,100,0.7107010090281466
0,4,0.6,90,0.7181359532660648
0,4,0.6,80,0.7242432288900691
0,4,0.6,70,0.733935209771641
1,0,0.9,100,0.5678438661710037
1,0,0.9,90,0.580323951141795
1,0,0.9,80,0.5890865639936272
1,0,0.9,70,0.6023632501327668
1,0,0.8,100,0.5693043016463091
1,0,0.8,90,0.5813860860329262
1,0,0.8,80,0.5896176314391928
1,0,0.8,70,0.6030270844397239
1,0,0.7,100,0.57129580456718
1,0,0.7,90,0.5833775889537971
1,0,0.7,80,0.5932023366967605
1,0,0.7,70,0.6070100902814658
1,0,0.6,100,0.5716941051513542
1,0,0.6,90,0.584306956983537
1,0,0.6,80,0.5951938396176314
1,0,0.6,70,0.6052841210833776
1,1,0.9,100,0.591343600637281
1,1,0.9,90,0.5973181093998938
1,1,0.9,80,0.6035581518852894
1,1,0.9,70,0.613781200212427
1,1,0.8,100,0.5917419012214551
1,1,0.8,90,0.5981147105682422
1,1,0.8,80,0.6051513542219862
1,1,0.8,70,0.6156399362719065
1,1,0.7,100,0.5942644715878916
1,1,0.7,90,0.6009028146574615
1,1,0.7,80,0.6070100902814658
1,1,0.7,70,0.6159054699946893
1,1,0.6,100,0.5934678704195433
1,1,0.6,90,0.601035581518853
1,1,0.6,80,0.6066117896972916
1,1,0.6,70,0.6174986723313861
1,2,0.9,100,0.606744556558683
1,2,0.9,90,0.615108868826341
1,2,0.9,80,0.6228093467870419
1,2,0.9,70,0.6351566648964418
1,2,0.8,100,0.606744556558683
1,2,0.8,90,0.615108868826341
1,2,0.8,80,0.6228093467870419
1,2,0.8,70,0.6351566648964418
1,2,0.7,100,0.606744556558683
1,2,0.7,90,0.615108868826341
1,2,0.7,80,0.6228093467870419
1,2,0.7,70,0.6351566648964418
1,2,0.6,100,0.6035581518852894
1,2,0.6,90,0.6157727031332979
1,2,0.6,80,0.6214816781731279
1,2,0.6,70,0.6346255974508762
1,3,0.9,100,0.6177642060541689
1,3,0.9,90,0.623473181093999
1,3,0.9,80,0.6317047265002655
1,3,0.9,70,0.6417950079660116
1,3,0.8,100,0.6177642060541689
1,3,0.8,90,0.623473181093999
1,3,0.8,80,0.6317047265002655
1,3,0.8,70,0.6417950079660116
1,3,0.7,100,0.6177642060541689
1,3,0.7,90,0.623473181093999
1,3,0.7,80,0.6317047265002655
1,3,0.7,70,0.6417950079660116
1,3,0.6,100,0.6167020711630377
1,3,0.6,90,0.6218799787573022
1,3,0.6,80,0.6290493892724376
1,3,0.6,70,0.6391396707381838
1,4,0.9,100,0.5848380244291025
1,4,0.9,90,0.5937334041423261
1,4,0.9,80,0.6009028146574615
1,4,0.9,70,0.6108603292618162
1,4,0.8,100,0.5848380244291025
1,4,0.8,90,0.5937334041423261
1,4,0.8,80,0.6009028146574615
1,4,0.8,70,0.6108603292618162
1,4,0.7,100,0.5848380244291025
1,4,0.7,90,0.5937334041423261
1,4,0.7,80,0.6009028146574615
1,4,0.7,70,0.6108603292618162
1,4,0.6,100,0.5848380244291025
1,4,0.6,90,0.5917419012214551
1,4,0.6,80,0.6005045140732873
1,4,0.6,70,0.6070100902814658
